Name,Platform,MAX(Global_Sales),Platform_Sales_in_Millions
"Grand Theft Auto: San Andreas",PS2,20.810,155.00
"New Super Mario Bros.",DS,29.850,154.02
"Pokémon Red / Green / Blue Version",GB,31.370,118.69
"Marvel's Spider-Man",PS4,19.390,116.60
"Gran Turismo",PS,10.950,102.49
"Wii Sports",Wii,82.650,101.63
"Mario Kart 8 Deluxe",NS,13.050,92.87
"Grand Theft Auto V",PS3,20.320,87.40
"Kinect Adventures!",X360,22.100,84.00
"Pokémon Ruby / Sapphire Version",GBA,15.850,81.51
"Grand Theft Auto: Liberty City Stories",PSP,8.200,80.00
"Mario Kart 7",3DS,16.130,75.94
"Super Mario Bros.",NES,40.240,61.91
"Grand Theft Auto V",XOne,8.720,51.00
"Super Mario World",SNES,20.610,49.10
"Super Mario 64",N64,11.890,32.93
"Super Smash Bros. Melee",GC,7.070,21.74
"Mario Kart 8",WiiU,7.690,13.56
"Sonic Adventure",DC,2.420,9.13
