Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Year
1,Wii Sports,Wii,Nintendo,Nintendo EAD,7.7,82.65,41.36,29.02,3.77,8.51,19th Nov 06
2,Mario Kart 8 Deluxe,NS,Nintendo,Nintendo EPD,9.3,13.05,5.05,4.98,2.11,0.91,28th Apr 17
3,Super Mario Bros.,NES,Nintendo,Nintendo EAD,10.0,40.24,29.08,3.58,6.81,0.77,18th Oct 85
4,Mario Kart Wii,Wii,Nintendo,Nintendo EAD,8.2,35.98,15.91,12.92,3.8,3.35,27th Apr 08
5,Wii Sports Resort,Wii,Nintendo,Nintendo EAD,8.0,32.9,15.61,10.99,3.29,3.02,26th Jul 09
6,Pokémon Red / Green / Blue Version,GB,Nintendo,Game Freak,9.4,31.37,11.27,8.89,10.22,1.0,30th Sep 98
7,New Super Mario Bros.,DS,Nintendo,Nintendo EAD,9.1,29.85,11.28,9.19,6.5,2.89,15th May 06
8,New Super Mario Bros. Wii,Wii,Nintendo,Nintendo EAD,8.6,28.51,14.53,7.01,4.7,2.27,15th Nov 09
9,Tetris,GB,Nintendo,Bullet Proof Software,,30.26,23.2,2.26,4.22,0.58,31st Jul 89
10,Duck Hunt,NES,Nintendo,Nintendo R&D1,,28.31,26.93,0.63,0.28,0.47,15th Oct 85
11,Wii Play,Wii,Nintendo,Nintendo EAD,5.9,28.92,13.96,9.18,2.93,2.85,12th Feb 07
12,Super Smash Bros. Ultimate,NS,Nintendo,Bandai Namco Games,9.4,8.95,4.22,1.72,2.41,0.61,07th Dec 18
13,The Legend of Zelda: Breath of the Wild,NS,Nintendo,Nintendo EPD,9.9,9.46,4.54,2.94,1.26,0.73,03rd Mar 17
14,Kinect Adventures!,X360,Microsoft Game Studios,Good Science Studio,6.7,22.1,15.09,4.97,0.24,1.81,04th Nov 10
15,Nintendogs,DS,Nintendo,Nintendo EAD,8.4,24.68,9.05,10.96,1.93,2.74,23rd Aug 05
16,Mario Kart DS,DS,Nintendo,Nintendo EAD,9.1,23.26,9.71,7.51,4.13,1.91,14th Nov 05
17,Pokémon Gold / Silver Version,GB,Nintendo,Game Freak,9.2,23.1,9.0,6.18,7.2,0.71,14th Oct 00
18,Super Mario Odyssey,NS,Nintendo,Nintendo EPD,9.9,11.71,5.1,3.75,2.02,0.84,27th Oct 17
19,Wii Fit,Wii,Nintendo,Nintendo EAD,7.9,22.7,8.92,8.03,3.6,2.15,21st May 08
20,Wii Fit Plus,Wii,Nintendo,Nintendo EAD,8.0,21.81,9.01,8.51,2.53,1.76,04th Oct 09
21,Super Mario World,SNES,Nintendo,Nintendo EAD,8.5,20.61,12.78,3.75,3.54,0.55,13th Aug 91
22,Grand Theft Auto V,PS3,Rockstar Games,Rockstar North,9.4,20.32,6.37,9.85,0.99,3.12,17th Sep 13
23,Marvel's Spider-Man,PS4,Sony Interactive Entertainment,Insomniac Games,9.1,8.76,3.64,3.39,0.32,1.41,07th Sep 18
24,God of War (2018),PC,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,6.15,2.83,2.17,0.13,1.02,20th Apr 18
25,Grand Theft Auto V,PS4,Rockstar Games,Rockstar North,9.7,19.39,6.06,9.71,0.6,3.02,18th Nov 14
26,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Nintendo SDD,8.1,20.16,4.74,9.21,4.16,2.04,17th Apr 06
27,Mario Kart 7,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,15.49,6.03,5.35,3.0,1.11,04th Dec 11
28,Super Mario Land,GB,Nintendo,Nintendo R&D1,,18.14,10.83,2.71,4.18,0.42,01st Aug 89
29,Pokémon Diamond / Pearl Version,DS,Nintendo,Game Freak,8.6,18.25,6.38,4.47,6.04,1.36,28th Apr 07
30,Super Mario Party,NS,Nintendo,"Nd Cube Co., Ltd.",7.3,4.97,2.12,1.64,0.85,0.36,05th Oct 18
31,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Rockstar North,9.5,20.81,9.43,0.4,0.41,10.57,26th Oct 04
32,Super Mario Bros. 3,NES,Nintendo,Nintendo R&D2,,17.28,9.54,3.44,3.84,0.46,12th Feb 90
33,Pokémon X/Y,3DS,Nintendo,Game Freak,8.9,16.13,5.68,5.06,4.4,0.99,12th Oct 13
34,Pokémon Sun/Moon,3DS,Nintendo,Game Freak,9.0,15.17,6.02,4.34,3.82,0.99,18th Nov 16
