Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Date
1,"Wii Sports",Wii,Nintendo,"Nintendo EAD",7.7,82.650,41.360,29.020,3.770,8.510,2006-11-19
2,"Mario Kart 8 Deluxe",NS,Nintendo,"Nintendo EPD",9.3,13.050,5.050,4.980,2.110,0.910,2017-04-28
3,"Super Mario Bros.",NES,Nintendo,"Nintendo EAD",10.0,40.240,29.080,3.580,6.810,0.770,1985-10-18
4,"Mario Kart Wii",Wii,Nintendo,"Nintendo EAD",8.2,35.980,15.910,12.920,3.800,3.350,2008-04-27
5,"Wii Sports Resort",Wii,Nintendo,"Nintendo EAD",8.0,32.900,15.610,10.990,3.290,3.020,2009-07-26
6,"Pokémon Red / Green / Blue Version",GB,Nintendo,"Game Freak",9.4,31.370,11.270,8.890,10.220,1.000,1998-09-30
7,"New Super Mario Bros.",DS,Nintendo,"Nintendo EAD",9.1,29.850,11.280,9.190,6.500,2.890,2006-05-15
8,"New Super Mario Bros. Wii",Wii,Nintendo,"Nintendo EAD",8.6,28.510,14.530,7.010,4.700,2.270,2009-11-15
9,Tetris,GB,Nintendo,"Bullet Proof Software",0.0,30.260,23.200,2.260,4.220,0.580,1989-07-31
10,"Duck Hunt",NES,Nintendo,"Nintendo R&D1",0.0,28.310,26.930,0.630,0.280,0.470,1985-10-15
11,"Wii Play",Wii,Nintendo,"Nintendo EAD",5.9,28.920,13.960,9.180,2.930,2.850,2007-02-12
12,"Super Smash Bros. Ultimate",NS,Nintendo,"Bandai Namco Games",9.4,8.950,4.220,1.720,2.410,0.610,2018-12-07
13,"The Legend of Zelda: Breath of the Wild",NS,Nintendo,"Nintendo EPD",9.9,9.460,4.540,2.940,1.260,0.730,2017-03-03
14,"Kinect Adventures!",X360,"Microsoft Game Studios","Good Science Studio",6.7,22.100,15.090,4.970,0.240,1.810,2010-11-04
15,Nintendogs,DS,Nintendo,"Nintendo EAD",8.4,24.680,9.050,10.960,1.930,2.740,2005-08-23
16,"Mario Kart DS",DS,Nintendo,"Nintendo EAD",9.1,23.260,9.710,7.510,4.130,1.910,2005-11-14
